invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,dtme,tme,payment_method,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name,month_num,quarter
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,30.74,4.7619,32.27699838615008,7.2,evening,Saturday,March,3,2019Q1
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00:00,Cash,375.84,4.7619,394.6319802684009,9.5,evening,Saturday,March,3,2019Q1
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24:00,Credit card,510.21,4.7619,535.7204732139763,8.4,evening,Wednesday,February,2,2019Q1
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47:00,Ewallet,180.09,4.7619,189.09449054527548,4.1,afternoon,Wednesday,February,2,2019Q1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00,Credit card,113.58,4.7619,119.25899403705029,8.1,afternoon,Sunday,February,2,2019Q1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,826.3,4.7619,867.6149566192521,7.9,evening,Tuesday,March,3,2019Q1
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.8,4.7619,671.7899664105016,9.5,morning,Sunday,February,2,2019Q1
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10:00,Cash,222.95,4.7619,234.0974882951256,8.5,afternoon,Sunday,February,2,2019Q1
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42:00,Ewallet,71.48,4.7619,75.05399624730019,6.5,afternoon,Friday,March,3,2019Q1
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46:00,Credit card,15.43,4.7619,16.20149918992504,6.1,afternoon,Friday,January,1,2019Q1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00,Ewallet,32.32,4.7619,33.93599830320009,6.5,morning,Thursday,March,3,2019Q1
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01:00,Cash,687.84,4.7619,722.2319638884018,8.2,evening,Thursday,February,2,2019Q1
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00,Cash,88.68,4.7619,93.11399534430024,5.8,morning,Wednesday,March,3,2019Q1
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,716.8,4.7619,752.6399623680018,6.6,morning,Thursday,February,2,2019Q1
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55:00,Cash,723.5,4.7619,759.6749620162519,5.4,afternoon,Sunday,January,1,2019Q1
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36:00,Cash,183.66,4.7619,192.84299035785048,9.3,evening,Tuesday,March,3,2019Q1
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47:00,Credit card,74.22,4.7619,77.93099610345018,10.0,evening,Friday,February,2,2019Q1
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,334.38,4.7619,351.09898244505086,7.0,morning,Sunday,February,2,2019Q1
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40:00,Ewallet,495.63,4.7619,520.4114739794263,10.0,afternoon,Sunday,February,2,2019Q1
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00,Credit card,158.1,4.7619,166.0049916997504,8.6,afternoon,Wednesday,March,3,2019Q1
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35:00,Cash,302.96,4.7619,318.10798409460074,7.6,afternoon,Thursday,February,2,2019Q1
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40:00,Cash,158.7,4.7619,166.6349916682504,5.8,evening,Wednesday,March,3,2019Q1
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,66.94,4.7619,70.28699648565016,6.7,afternoon,Sunday,February,2,2019Q1
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01:00,Ewallet,585.66,4.7619,614.9429692528515,9.9,afternoon,Monday,January,1,2019Q1
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00,Cash,787.7,4.7619,827.0849586457521,6.4,morning,Thursday,January,1,2019Q1
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50:00,Cash,18.33,4.7619,19.246499037675047,4.3,evening,Saturday,February,2,2019Q1
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.8,4.7619,939.5399530230022,9.6,afternoon,Sunday,January,1,2019Q1
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.2,4.7619,652.2599673870017,5.9,evening,Monday,February,2,2019Q1
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17:00,Ewallet,145.56,4.7619,152.83799235810037,4.0,evening,Tuesday,March,3,2019Q1
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21:00,Cash,455.46,4.7619,478.2329760883512,8.7,evening,Saturday,March,3,2019Q1
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00,Ewallet,672.03,4.7619,705.6314647184267,9.4,morning,Tuesday,January,1,2019Q1
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04:00,Credit card,416.5,4.7619,437.3249781337511,5.4,evening,Sunday,January,1,2019Q1
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20:00,Credit card,441.36,4.7619,463.4279768286012,8.6,afternoon,Wednesday,January,1,2019Q1
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48:00,Credit card,180.09,4.7619,189.09449054527548,5.7,afternoon,Saturday,January,1,2019Q1
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,783.1,4.7619,822.2549588872521,6.6,evening,Tuesday,March,3,2019Q1
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56:00,Cash,101.9,4.7619,106.99499465025026,6.0,evening,Tuesday,January,1,2019Q1
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42:00,Credit card,595.14,4.7619,624.8969687551515,5.5,afternoon,Monday,January,1,2019Q1
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56:00,Ewallet,290.04,4.7619,304.5419847729008,6.4,evening,Saturday,January,1,2019Q1
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,154.0,4.7619,161.6999919150004,6.6,evening,Wednesday,January,1,2019Q1
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45:00,Credit card,321.44,4.7619,337.51198312440084,8.3,evening,Saturday,February,2,2019Q1
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,244.55,4.7619,256.77748716112563,6.6,morning,Saturday,March,3,2019Q1
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,581.42,4.7619,610.4909694754515,4.0,afternoon,Tuesday,March,3,2019Q1
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,382.6,4.7619,401.729979913501,9.9,morning,Monday,March,3,2019Q1
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35:00,Credit card,345.66,4.7619,362.94298185285095,7.3,evening,Wednesday,March,3,2019Q1
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57:00,Cash,42.47,4.7619,44.59349777032511,5.7,evening,Wednesday,January,1,2019Q1
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55:00,Cash,461.94,4.7619,485.0369757481512,6.1,evening,Wednesday,February,2,2019Q1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00,Cash,189.52,4.7619,198.9959900502005,7.1,morning,Wednesday,January,1,2019Q1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.6,4.7619,471.0299764485012,8.2,evening,Saturday,January,1,2019Q1
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42:00,Ewallet,153.86,4.7619,161.5529919223504,5.1,evening,Thursday,January,1,2019Q1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00,Credit card,579.24,4.7619,608.2019695899015,8.6,afternoon,Tuesday,March,3,2019Q1
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,89.75,4.7619,94.23749528812525,6.6,evening,Wednesday,February,2,2019Q1
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38:00,Ewallet,97.16,4.7619,102.01799489910024,7.2,evening,Friday,March,3,2019Q1
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00,Ewallet,878.7,4.7619,922.6349538682524,5.1,morning,Friday,March,3,2019Q1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11:00,Cash,74.7,4.7619,78.4349960782502,4.1,afternoon,Saturday,February,2,2019Q1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00,Ewallet,158.25,4.7619,166.1624916918754,9.3,morning,Saturday,March,3,2019Q1
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14:00,Cash,496.2,4.7619,521.0099739495013,7.4,evening,Tuesday,March,3,2019Q1
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,48.71,4.7619,51.14549744272513,4.1,evening,Tuesday,March,3,2019Q1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,706.95,4.7619,742.2974628851268,7.2,afternoon,Friday,March,3,2019Q1
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,207.63,4.7619,218.01148909942555,4.9,morning,Friday,February,2,2019Q1
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44:00,Cash,349.56,4.7619,367.0379816481009,9.9,evening,Thursday,March,3,2019Q1
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19:00,Cash,212.45,4.7619,223.07248884637556,8.0,evening,Tuesday,March,3,2019Q1
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50:00,Ewallet,886.7,4.7619,931.0349534482524,7.3,afternoon,Saturday,January,1,2019Q1
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54:00,Credit card,164.28,4.7619,172.49399137530042,7.9,evening,Saturday,January,1,2019Q1
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19:00,Cash,372.78,4.7619,391.4189804290509,7.4,evening,Friday,March,3,2019Q1
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00,Cash,305.82,4.7619,321.1109839444508,4.2,morning,Sunday,March,3,2019Q1
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30:00,Cash,819.7,4.7619,860.6849569657521,9.2,afternoon,Sunday,March,3,2019Q1
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00,Ewallet,32.98,4.7619,34.628998268550085,4.6,morning,Tuesday,February,2,2019Q1
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,294.63,4.7619,309.3614845319258,7.8,morning,Tuesday,February,2,2019Q1
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00,Cash,509.88,4.7619,535.3739732313013,8.4,afternoon,Friday,February,2,2019Q1
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07:00,Ewallet,522.63,4.7619,548.7614725619263,4.3,evening,Saturday,January,1,2019Q1
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,727.11,4.7619,763.4654618267269,9.5,evening,Friday,February,2,2019Q1
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01:00,Credit card,81.06,4.7619,85.11299574435021,7.1,afternoon,Saturday,March,3,2019Q1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00,Ewallet,109.7,4.7619,115.18499424075029,5.3,afternoon,Tuesday,March,3,2019Q1
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26:00,Ewallet,51.36,4.7619,53.92799730360013,5.2,afternoon,Wednesday,January,1,2019Q1
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,109.6,4.7619,115.07999424600028,6.0,evening,Saturday,February,2,2019Q1
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38:00,Ewallet,106.88,4.7619,112.22399438880028,4.1,evening,Sunday,January,1,2019Q1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03:00,Credit card,796.48,4.7619,836.3039581848021,5.2,evening,Thursday,February,2,2019Q1
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00,Credit card,399.84,4.7619,419.831979008401,6.5,afternoon,Saturday,January,1,2019Q1
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26:00,Credit card,899.64,4.7619,944.6219527689024,4.2,evening,Saturday,March,3,2019Q1
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52:00,Credit card,511.28,4.7619,536.8439731578013,4.6,evening,Wednesday,March,3,2019Q1
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57:00,Ewallet,451.76,4.7619,474.3479762826012,7.3,afternoon,Saturday,March,3,2019Q1
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44:00,Credit card,655.83,4.7619,688.6214655689267,4.5,evening,Sunday,March,3,2019Q1
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26:00,Cash,161.25,4.7619,169.31249153437545,9.0,afternoon,Sunday,January,1,2019Q1
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,285.57,4.7619,299.84848500757573,5.9,evening,Tuesday,January,1,2019Q1
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,548.32,4.7619,575.7359712132014,8.5,afternoon,Tuesday,January,1,2019Q1
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00,Ewallet,812.52,4.7619,853.1459573427021,7.2,morning,Friday,February,2,2019Q1
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18:00,Cash,277.34,4.7619,291.2069854396507,7.5,afternoon,Friday,January,1,2019Q1
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34:00,Cash,552.78,4.7619,580.4189709790514,8.3,evening,Wednesday,March,3,2019Q1
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36:00,Cash,139.36,4.7619,146.32799268360037,7.4,evening,Sunday,February,2,2019Q1
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40:00,Credit card,524.7,4.7619,550.9349724532514,8.8,afternoon,Sunday,February,2,2019Q1
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,487.8,4.7619,512.1899743905012,5.3,evening,Friday,March,3,2019Q1
